Date,Source Stage,Source bench,Destination name,Truck,Travelling empty duration,Travelling full duration,Full slope length,Empty slope length,Inpit Ramp length,Inpit Ramp Grade,Dump Ramp length,Dump Ramp Grade,Truck ID,Truck Type,Empty Weight (kg),Max Gross OperatingWeight,Payload_tonnes,Total_weight,Overweight,productivity,Dump Ramp Length
01/01/2017,Stage G,920,MW_PRIME,TRH402,0.0,1009,3888.21, 42.94 ,3108.02,9.34, 336.00 ,8.33%,TRH402,789C,114114,317514.85,179700.0,293814.0,0,291.193260654113,336.0
01/01/2017,Stage G,912,ROM_01,TRH402,1259.0,1022,4542.65," 4,193.04 ",3263.69,9.14, 135.00 ,6.67%,TRH402,789C,114114,317514.85,151900.0,266014.0,0,260.28767123287673,135.0
01/01/2017,Stage G,912,CRUSH01,TRH402,625.0,1102,5300.56," 4,616.52 ",3263.69,9.14,    ,0.00%,TRH402,789C,114114,317514.85,184500.0,298614.0,0,270.97459165154265,0.0
01/01/2017,Stage G,912,ROM_01,TRH402,1804.0,1087,5335.41," 6,149.59 ",3263.69,9.14, 135.00 ,6.67%,TRH402,789C,114114,317514.85,168900.0,283014.0,0,260.36246550138,135.0
01/01/2017,Stage G,903,CRUSH01,TRH402,2895.0,1093,5662.9," 5,613.46 ",3362.25,9.14,    ,0.00%,TRH402,789C,114114,317514.85,173500.0,287614.0,0,263.14181152790485,0.0
01/01/2017,Stage G,903,ROM_01,TRH402,1126.0,1169,5646.15," 6,317.98 ",3362.25,9.14, 135.00 ,6.67%,TRH402,789C,114114,317514.85,189500.0,303614.0,0,259.721129170231,135.0
01/01/2017,Stage G,903,ROM_01,TRH402,553.0,1102,5549.9," 5,841.55 ",3362.25,9.14, 135.00 ,6.67%,TRH402,789C,114114,317514.85,176900.0,291014.0,0,264.07803992740475,135.0
01/01/2017,Stage G,903,ROM_07,TRH402,817.0,1283,6236.67," 7,186.97 ",3362.25,9.14, 996.00 ,8.33%,TRH402,789C,114114,317514.85,167400.0,281514.0,0,219.41855027279814,996.0
01/01/2017,Stage G,912,ROM_01,TRH402,678.0,1134,5817.47," 6,591.46 ",3263.69,9.14, 135.00 ,6.67%,TRH402,789C,114114,317514.85,178000.0,292114.0,0,257.59611992945327,135.0
01/01/2017,Stage G,912,ROM_01,TRH402,585.0,1148,5131.04," 5,855.69 ",3263.69,9.14, 135.00 ,6.67%,TRH402,789C,114114,317514.85,175400.0,289514.0,0,252.18989547038328,135.0
01/01/2017,Stage G,920,MW_PRIME,TRH402,706.0,1097,4034.31," 4,501.87 ",3108.02,9.34, 336.00 ,8.33%,TRH402,789C,114114,317514.85,182400.0,296514.0,0,270.2953509571559,336.0
01/01/2017,Stage G,920,MW_PRIME,TRH402,827.0,991,4069.94," 4,295.64 ",3108.02,9.34, 336.00 ,8.33%,TRH402,789C,114114,317514.85,175000.0,289114.0,0,291.7396569122099,336.0
01/01/2017,Stage G,920,ROM_07,TRH402,810.0,1158,4977.57," 4,167.93 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,182800.0,296914.0,0,256.4024179620034,996.0
01/01/2017,Stage G,920,TAILS_04,TRH402,776.0,1062,6391.97," 5,204.80 ",3108.02,9.34, 24.00 ,8.33%,TRH402,789C,114114,317514.85,164000.0,278114.0,0,261.87758945386065,24.0
01/01/2017,Stage G,920,MW_PRIME,TRH402,739.0,1136,4045.07," 5,978.15 ",3108.02,9.34, 336.00 ,8.33%,TRH402,789C,114114,317514.85,188800.0,302914.0,0,266.64964788732397,336.0
01/01/2017,Stage G,920,ROM_07,TRH402,665.0,1189,5033.61," 4,242.80 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,174800.0,288914.0,0,242.98906644238855,996.0
01/01/2017,Stage G,920,TAILS_04,TRH402,1445.0,1216,6433.16," 6,072.92 ",3108.02,9.34, 24.00 ,8.33%,TRH402,789C,114114,317514.85,184700.0,298814.0,0,245.73519736842104,24.0
01/01/2017,Stage G,920,ROM_07,TRH402,1022.0,1398,5074.86," 6,762.39 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,194500.0,308614.0,0,220.75393419170243,996.0
01/01/2017,Stage G,920,TAILS_04,TRH402,571.0,1099,6366.84," 5,137.91 ",3108.02,9.34, 24.00 ,8.33%,TRH402,789C,114114,317514.85,179200.0,293314.0,0,266.89171974522293,24.0
01/01/2017,Stage G,920,ROM_07,TRH402,750.0,1407,5035.31," 6,438.51 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,191800.0,305914.0,0,217.4228855721393,996.0
01/01/2017,Stage G,920,ROM_07,TRH402,564.0,1353,4970.62," 5,286.40 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,177300.0,291414.0,0,215.38359201773835,996.0
01/01/2017,Stage G,920,ROM_07,TRH402,583.0,1212,4987.68," 5,423.13 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,177100.0,291214.0,0,240.27557755775578,996.0
01/01/2017,Stage G,920,ROM_07,TRH402,626.0,1387,5040.96," 5,566.90 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,189700.0,303814.0,0,219.04397981254507,996.0
01/01/2017,Stage G,920,ROM_07,TRH402,959.0,1235,4909.69," 7,795.87 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,182800.0,296914.0,0,240.4161943319838,996.0
01/01/2017,Stage G,920,LG_PRIME,TRH402,620.0,1172,4223.65," 5,249.42 ",3108.02,9.34, 754.00 ,7.69%,TRH402,789C,114114,317514.85,192000.0,306114.0,0,261.18941979522185,754.0
01/01/2017,Stage G,920,ROM_07,TRH402,512.0,1224,5038.05," 4,453.50 ",3108.02,9.34, 996.00 ,8.33%,TRH402,789C,114114,317514.85,184800.0,298914.0,0,244.2107843137255,996.0
01/01/2017,Stage G,920,CRUSH01,TRH402,629.0,1200,4564.88," 5,600.27 ",3108.02,9.34,    ,0.00%,TRH402,789C,114114,317514.85,191000.0,305114.0,0,254.26166666666666,0.0
01/01/2017,Stage G,920,LG_PRIME,TRH402,812.0,1062,3846.14," 5,340.14 ",3108.02,9.34, 754.00 ,7.69%,TRH402,789C,114114,317514.85,183700.0,297814.0,0,280.42749529190206,754.0
01/01/2017,Stage G,920,LG_PRIME,TRH402,831.0,1060,4388.27," 4,399.60 ",3108.02,9.34, 754.00 ,7.69%,TRH402,789C,114114,317514.85,179000.0,293114.0,0,276.522641509434,754.0
01/01/2017,Stage G,920,MW_PRIME,TRH402,531.0,1005,4121.06," 4,276.54 ",3108.02,9.34, 336.00 ,8.33%,TRH402,789C,114114,317514.85,184500.0,298614.0,0,297.1283582089552,336.0
02/01/2017,Stage G,920,LG_PRIME,TRH402,603.0,1287,4055.66," 4,729.39 ",3108.02,9.34, 754.00 ,7.69%,TRH402,789C,114114,317514.85,182700.0,296814.0,0,230.62470862470863,754.0
02/01/2017,Stage G,920,TAILS_04,TRH402,520.0,1141,6481.71," 4,317.03 ",3108.02,9.34, 24.00 ,8.33%,TRH402,789C,114114,317514.85,184900.0,299014.0,0,262.06310254163014,24.0
02/01/2017,Stage G,916,ROM_01,TRH402,633.0,1019,4180.4," 6,375.13 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,179600.0,293714.0,0,288.23748773307165,135.0
02/01/2017,Stage G,916,ROM_01,TRH402,1092.0,1045,4023.65," 4,572.41 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,189300.0,303414.0,0,290.3483253588517,135.0
02/01/2017,Stage G,916,CRUSH01,TRH402,649.0,980,4304.69," 4,363.85 ",3149.95,9.34,    ,0.00%,TRH402,789C,114114,317514.85,172900.0,287014.0,0,292.87142857142857,0.0
02/01/2017,Stage G,916,CRUSH01,TRH402,476.0,1018,4293.19," 4,466.71 ",3149.95,9.34,    ,0.00%,TRH402,789C,114114,317514.85,189300.0,303414.0,0,298.04911591355597,0.0
02/01/2017,Stage G,916,ROM_01,TRH402,898.0,1103,4286.91," 4,467.75 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,189500.0,303614.0,0,275.2620126926564,135.0
02/01/2017,Stage G,916,ROM_01,TRH402,575.0,978,4227.78," 4,422.91 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,177100.0,291214.0,0,297.76482617586913,135.0
02/01/2017,Stage G,916,CRUSH01,TRH402,717.0,989,4317.22," 4,283.90 ",3149.95,9.34,    ,0.00%,TRH402,789C,114114,317514.85,177000.0,291114.0,0,294.35187057633976,0.0
02/01/2017,Stage G,916,CRUSH01,TRH402,939.0,994,4342.37," 6,296.07 ",3149.95,9.34,    ,0.00%,TRH402,789C,114114,317514.85,182400.0,296514.0,0,298.30382293762574,0.0
02/01/2017,Stage G,916,ROM_01,TRH402,553.0,1017,4171.73," 4,487.64 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,187700.0,301814.0,0,296.76892822025565,135.0
02/01/2017,Stage G,916,ROM_01,TRH402,572.0,1037,4415.67," 4,411.30 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,194700.0,308814.0,0,297.7955641272903,135.0
02/01/2017,Stage G,916,ROM_01,TRH402,725.0,1027,4156.82," 4,587.93 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,183300.0,297414.0,0,289.59493670886076,135.0
02/01/2017,Stage G,916,ROM_01,TRH402,501.0,1126,4226.79," 4,321.58 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,187600.0,301714.0,0,267.95204262877445,135.0
02/01/2017,Stage G,916,CRUSH01,TRH402,583.0,1002,4300.02," 4,336.24 ",3149.95,9.34,    ,0.00%,TRH402,789C,114114,317514.85,183700.0,297814.0,0,297.2195608782435,0.0
02/01/2017,Stage G,916,CRUSH01,TRH402,501.0,1038,4324.05," 4,798.16 ",3149.95,9.34,    ,0.00%,TRH402,789C,114114,317514.85,184500.0,298614.0,0,287.6820809248555,0.0
02/01/2017,Stage G,916,CRUSH01,TRH402,490.0,969,4292.17," 4,417.87 ",3149.95,9.34,    ,0.00%,TRH402,789C,114114,317514.85,191600.0,305714.0,0,315.4943240454076,0.0
02/01/2017,Stage G,916,CRUSH01,TRH402,533.0,1151,4182.26," 4,679.29 ",3149.95,9.34,    ,0.00%,TRH402,789C,114114,317514.85,189900.0,304014.0,0,264.13032145960034,0.0
02/01/2017,Stage G,916,ROM_01,TRH402,475.0,1050,4213.12," 3,469.81 ",3149.95,9.34, 135.00 ,6.67%,TRH402,789C,114114,317514.85,182000.0,296114.0,0,282.0133333333333,135.0
