Travelling empty duration,Full slope length,Empty slope length,Inpit Ramp length,Inpit Ramp Grade,Dump Ramp length,Dump Ramp Grade,Empty Weight (kg),Max Gross OperatingWeight,Total_weight,Overweight,predicted,pred
548.0,05270.050,05137.450,03149.950,9.34,0000,6.67,114114,317514.85,178100.0,0,178.88557385555313,178.88557385555313
664.0,05064.920,04800.220,03602.680,9.17,0000,6.67,124114,317514.85,187000.0,0,443.0578200802257,443.0578200802257
0.0,05176.030,0000,03319.140,9.14,0754.000,7.69,124114,317514.85,196600.0,0,161.06717926885435,161.06717926885435
594.0,04421.110,05205.180,03263.690,9.14,0000,0.00,124114,317514.85,193800.0,0,179.50064059104264,179.50064059104264
120.0,05786.570,0151.390,03411.750,9.15,0000,0.00,114114,317514.85,195000.0,0,145.5618034670513,145.5618034670513
512.0,05000.870,05144.660,03263.690,9.14,0000,9.52,124114,317514.85,189700.0,0,399.0939580265634,399.0939580265634
642.0,05377.110,05203.910,03562.640,9.16,0780.000,7.69,124114,317514.85,192700.0,0,351.04915864107085,351.04915864107085
420.0,03563.240,03548.680,066.160,8.64,0552.000,8.33,124114,317514.85,185600.0,0,433.4717147124083,433.4717147124083
827.0,04898.370,05738.660,03362.250,9.14,0336.000,8.33,124114,317514.85,183000.0,0,161.91103625019517,161.91103625019517
578.0,05620.770,05729.160,03263.690,9.14,0492.000,8.33,124114,317514.85,188400.0,0,148.86517213402954,148.86517213402954
486.0,03184.000,03317.870,0157.890,9.47,0552.000,8.33,114114,317514.85,184400.0,0,143.9197406221592,143.9197406221592
750.0,05480.350,05059.810,03602.680,9.17,0000,6.67,124114,317514.85,178800.0,0,183.35500056989164,183.35500056989164
646.0,05160.990,05521.200,03552.630,9.16,0000,0.00,124114,317514.85,183700.0,0,177.574658873975,177.574658873975
606.0,05080.530,04912.420,03263.690,9.14,0135.000,6.67,124114,317514.85,193700.0,0,333.90572971817363,333.90572971817363
536.0,04844.310,04855.960,03319.140,9.14,0336.000,8.33,124114,317514.85,181800.0,0,138.77081520905583,138.77081520905583
608.0,04722.800,05450.940,03362.250,9.14,0336.000,8.33,124114,317514.85,189400.0,0,154.47586558316618,154.47586558316618
853.0,04901.790,07046.610,03372.120,9.14,0336.000,8.33,124114,317514.85,185000.0,0,403.1671463166121,403.1671463166121
613.0,06901.630,04862.580,03562.640,9.16,060.000,8.33,124114,317514.85,192600.0,0,439.57124557463345,439.57124557463345
650.0,06879.640,05818.350,03602.680,9.17,0000,0.00,114114,317514.85,183500.0,0,144.34181021429077,144.34181021429077
0.0,02059.220,032.210,03362.250,9.14,0754.000,7.69,124114,317514.85,186600.0,0,144.118892838523,144.118892838523
594.0,05181.160,06045.260,03503.830,9.17,0754.000,7.69,114114,317514.85,193800.0,0,167.25918045942103,167.25918045942103
576.0,05994.520,05660.820,03319.140,9.14,01056.000,8.33,124114,317514.85,188500.0,0,154.71332667506562,154.71332667506562
326.0,03178.760,02847.240,0157.890,9.47,060.000,8.33,114114,317514.85,187200.0,0,424.854714318195,424.854714318195
527.0,04486.480,04470.340,03097.540,9.34,0000,0.00,124114,317514.85,192500.0,0,154.94756413124438,154.94756413124438
406.0,04311.520,03836.770,03319.140,9.14,0336.000,8.33,124114,317514.85,178400.0,0,173.18757110768365,173.18757110768365
519.0,04522.750,04326.490,03097.540,9.34,0000,0.00,114114,317514.85,191600.0,0,151.57926000652841,151.57926000652841
649.0,05124.390,06869.480,03552.630,9.16,0816.000,8.33,114114,317514.85,195000.0,0,172.90384148426855,172.90384148426855
487.0,04385.450,04523.610,03263.690,9.14,0000,0.00,114114,317514.85,197400.0,0,493.6879687770233,493.6879687770233
697.0,05309.120,06097.220,03362.250,9.14,0135.000,6.67,124114,317514.85,182800.0,0,171.7897408453628,171.7897408453628
1292.0,05730.410,06047.270,03552.630,9.16,0816.000,8.33,114114,317514.85,180100.0,0,146.17591527506946,146.17591527506946
555.0,04327.220,04324.580,03149.950,9.34,0336.000,8.33,114114,317514.85,194700.0,0,185.2554317678887,185.2554317678887
554.0,06221.510,06134.150,03462.330,9.16,0000,6.67,124114,317514.85,194200.0,0,139.16075902647654,139.16075902647654
734.0,05573.610,05891.810,03263.690,9.14,01056.000,8.33,124114,317514.85,188300.0,0,178.31943958051272,178.31943958051272
575.0,05590.170,05541.480,03451.950,9.16,0876.000,8.33,114114,317514.85,193800.0,0,328.1272290654238,328.1272290654238
665.0,05193.270,05723.610,03263.690,9.14,0000,0.00,124114,317514.85,190200.0,0,171.82045095762507,171.82045095762507
623.0,05737.910,06256.440,03503.830,9.17,0816.000,8.33,114114,317514.85,187100.0,0,131.9757300440179,131.9757300440179
605.0,05252.530,05384.690,03149.950,9.34,0720.000,6.67,114114,317514.85,190300.0,0,337.12925591952643,337.12925591952643
493.0,04858.690,04954.370,03263.690,9.14,0000,0.00,124114,317514.85,199300.0,0,530.0444446670917,530.0444446670917
796.0,05917.540,04612.070,03552.630,9.16,0000,0.00,124114,317514.85,188600.0,0,378.62555945412896,378.62555945412896
837.0,04581.840,06223.440,03319.140,9.14,0000,0.00,114114,317514.85,179900.0,0,280.8286681103434,280.8286681103434
572.0,04415.670,04411.300,03149.950,9.34,0135.000,6.67,114114,317514.85,194700.0,0,149.52653642218652,149.52653642218652
532.0,05675.560,05688.860,03602.680,9.17,0780.000,7.69,114114,317514.85,177500.0,0,167.2102532691191,167.2102532691191
1473.0,04853.890,04306.890,03362.250,9.14,0135.000,6.67,114114,317514.85,187300.0,0,360.3273069768175,360.3273069768175
975.0,04795.010,05109.000,03552.630,9.16,0720.000,6.67,114114,317514.85,192400.0,0,141.77246736355954,141.77246736355954
963.0,05335.390,05623.060,03362.250,9.14,0000,0.00,114114,317514.85,186100.0,0,177.35180485261,177.35180485261
532.0,04835.300,04416.160,03275.050,9.14,0720.000,6.67,124114,317514.85,202400.0,0,384.8677049324888,384.8677049324888
722.0,06522.820,06189.080,03372.120,9.14,0312.000,8.33,124114,317514.85,195900.0,0,464.1769831050731,464.1769831050731
726.0,06236.460,06226.630,03362.250,9.14,0492.000,8.33,124114,317514.85,190000.0,0,176.9246902396799,176.9246902396799
645.0,04303.340,04951.430,03263.690,9.14,0135.000,6.67,124114,317514.85,182000.0,0,419.88130736831744,419.88130736831744
1195.0,05844.050,04940.770,03503.830,9.17,0000,6.67,114114,317514.85,189700.0,0,169.3739253619315,169.3739253619315
814.0,05472.080,06169.780,03319.140,9.14,01056.000,8.33,124114,317514.85,189700.0,0,454.11768189851347,454.11768189851347
807.0,05004.830,05665.960,03263.690,9.14,0492.000,8.33,124114,317514.85,189900.0,0,137.06051156163977,137.06051156163977
664.0,05042.220,04431.840,03642.720,9.18,0912.000,8.33,124114,317514.85,192800.0,0,545.4069679039002,545.4069679039002
399.0,03187.200,03292.830,0157.890,9.47,0000,10.00,124114,317514.85,177800.0,0,394.54373716352546,394.54373716352546
762.0,05312.330,05532.540,03372.120,9.14,0000,0.00,114114,317514.85,180000.0,0,153.88060116418407,153.88060116418407
650.0,05972.120,05809.320,03372.120,9.14,01176.000,8.33,114114,317514.85,188800.0,0,165.04032008087458,165.04032008087458
1641.0,06564.500,05290.750,03108.020,9.34,024.000,8.33,124114,317514.85,183800.0,0,156.25005950332533,156.25005950332533
1047.0,04413.830,011679.540,03362.250,9.14,0336.000,8.33,124114,317514.85,194400.0,0,162.565771733607,162.565771733607
146.0,03388.980,0000,096.740,9.03,060.000,8.33,114114,317514.85,191000.0,0,148.2398448189582,148.2398448189582
598.0,06106.990,05275.900,03411.750,9.15,073.500,9.52,114114,317514.85,189100.0,0,145.24578043132126,145.24578043132126
590.0,05740.840,05210.830,03451.950,9.16,0000,0.00,124114,317514.85,187700.0,0,457.2512442177702,457.2512442177702
0.0,01156.230,017.780,03642.720,9.18,0819.000,7.69,114114,317514.85,175000.0,0,342.93476435048404,342.93476435048404
546.0,04446.230,04785.260,03319.140,9.14,0000,0.00,114114,317514.85,186100.0,0,478.73700372619203,478.73700372619203
645.0,05602.510,05151.310,03642.720,9.18,0912.000,8.33,124114,317514.85,194000.0,0,147.57689785060245,147.57689785060245
699.0,05754.720,03411.120,03552.630,9.16,0000,9.52,114114,317514.85,200000.0,0,155.5552278090163,155.5552278090163
590.0,05085.590,05222.530,03319.140,9.14,0720.000,6.67,124114,317514.85,185800.0,0,301.1834511158458,301.1834511158458
678.0,05950.010,04346.660,03562.640,9.16,0000,0.00,124114,317514.85,187000.0,0,155.46971501050388,155.46971501050388
608.0,04517.430,03766.320,03602.680,9.17,0135.000,6.67,124114,317514.85,181900.0,0,436.91591532139194,436.91591532139194
566.0,05376.550,05936.670,03411.750,9.15,0336.000,8.33,114114,317514.85,204100.0,0,308.5060530416651,308.5060530416651
468.0,05161.340,04246.420,03263.690,9.14,0135.000,6.67,124114,317514.85,188200.0,0,177.05289179529666,177.05289179529666
592.0,04409.740,04559.860,03319.140,9.14,0135.000,6.67,114114,317514.85,187300.0,0,168.4820583830707,168.4820583830707
1115.0,05298.750,05701.340,03451.950,9.16,0780.000,7.69,114114,317514.85,191700.0,0,169.12308306325485,169.12308306325485
668.0,06009.320,04094.950,03108.020,9.34,0492.000,8.33,124114,317514.85,187400.0,0,512.3099837320069,512.3099837320069
577.0,05362.100,05566.920,03263.690,9.14,01056.000,8.33,114114,317514.85,191000.0,0,158.33347830426132,158.33347830426132
293.0,02241.670,02694.570,066.160,8.64,0552.000,8.33,124114,317514.85,178000.0,0,179.258348775752,179.258348775752
629.0,05319.430,03425.410,03275.050,9.14,0996.000,8.33,114114,317514.85,189500.0,0,487.74841209866247,487.74841209866247
58.0,07335.760,0253.000,03362.250,9.14,096.000,8.33,124114,317514.85,197800.0,0,167.1650403471009,167.1650403471009
999.0,05768.660,07202.300,03372.120,9.14,052.500,9.52,114114,317514.85,190800.0,0,421.7406758389154,421.7406758389154
112.0,05563.360,0113.500,03362.250,9.14,0000,0.00,124114,317514.85,182900.0,0,320.3138570812508,320.3138570812508
625.0,05951.640,06192.310,03451.950,9.16,073.500,9.52,114114,317514.85,179700.0,0,294.67157040319216,294.67157040319216
1917.0,05414.530,06620.290,03362.250,9.14,0000,0.00,114114,317514.85,186100.0,0,420.03029374905816,420.03029374905816
1290.0,05040.340,05506.430,03275.050,9.14,0754.000,7.69,124114,317514.85,187900.0,0,146.5564765603353,146.5564765603353
432.0,02805.070,03597.890,0157.890,9.47,0552.000,8.33,124114,317514.85,185000.0,0,76.46786162229434,76.46786162229434
431.0,03225.940,02948.300,0157.890,9.47,0552.000,8.33,114114,317514.85,193600.0,0,134.9264341555224,134.9264341555224
546.0,04596.100,04925.840,03149.950,9.34,0135.000,6.67,114114,317514.85,187300.0,0,542.8484948998496,542.8484948998496
597.0,05834.690,05188.320,03362.250,9.14,01056.000,8.33,124114,317514.85,186300.0,0,145.75382699300516,145.75382699300516
733.0,05102.450,04889.850,03263.690,9.14,0000,9.52,124114,317514.85,182500.0,0,167.24086674411362,167.24086674411362
502.0,04154.810,04355.460,03263.690,9.14,0336.000,8.33,124114,317514.85,180600.0,0,164.90674327390818,164.90674327390818
546.0,06010.750,04695.210,03552.630,9.16,0000,0.00,124114,317514.85,201200.0,0,248.1185209118502,248.1185209118502
571.0,04579.450,04661.590,03319.140,9.14,0000,9.52,114114,317514.85,192700.0,0,473.8443039652183,473.8443039652183
686.0,05740.550,05542.840,03275.050,9.14,01056.000,8.33,124114,317514.85,187800.0,0,154.50084920124726,154.50084920124726
1922.0,04908.540,07455.360,03275.050,9.14,0996.000,8.33,124114,317514.85,199900.0,0,142.6559762870212,142.6559762870212
654.0,07391.910,05253.200,03451.950,9.16,096.000,8.33,114114,317514.85,198400.0,0,386.37925662788007,386.37925662788007
709.0,06237.700,06218.380,03362.250,9.14,0492.000,8.33,124114,317514.85,179200.0,0,489.5484965193051,489.5484965193051
666.0,04757.110,05558.400,03149.950,9.34,0754.000,7.69,124114,317514.85,182600.0,0,161.0354377451653,161.0354377451653
547.0,05393.480,04225.660,03263.690,9.14,01056.000,8.33,124114,317514.85,182300.0,0,462.28048281364335,462.28048281364335
692.0,04838.140,05534.210,03263.690,9.14,0754.000,7.69,124114,317514.85,187900.0,0,315.6301365451624,315.6301365451624
628.0,05641.040,06065.190,03263.690,9.14,0492.000,8.33,124114,317514.85,180500.0,0,431.07546488534535,431.07546488534535
796.0,08007.970,08059.050,03562.640,9.16,060.000,8.33,114114,317514.85,193400.0,0,160.9208618902773,160.9208618902773
706.0,05461.180,06108.540,03503.830,9.17,0876.000,8.33,124114,317514.85,175900.0,0,174.24721090407672,174.24721090407672
595.0,05682.310,04908.530,03362.250,9.14,0000,9.52,124114,317514.85,189100.0,0,289.532048870423,289.532048870423
533.0,05088.770,05160.920,03275.050,9.14,0754.000,7.69,124114,317514.85,203400.0,0,156.5952801228538,156.5952801228538
596.0,04719.980,04844.070,03149.950,9.34,0135.000,6.67,124114,317514.85,198600.0,0,538.8299373213761,538.8299373213761
1126.0,04715.070,06602.830,03275.050,9.14,0000,0.00,114114,317514.85,184500.0,0,165.96086510317892,165.96086510317892
700.0,05656.250,05959.040,03362.250,9.14,01056.000,8.33,124114,317514.85,197500.0,0,157.55253436867864,157.55253436867864
778.0,05647.320,05783.090,03642.720,9.18,0000,0.00,114114,317514.85,177500.0,0,146.27189110801368,146.27189110801368
523.0,04648.630,04646.530,03275.050,9.14,0135.000,6.67,124114,317514.85,186500.0,0,141.8936542091012,141.8936542091012
515.0,04345.030,04627.520,03263.690,9.14,0000,0.00,114114,317514.85,179800.0,0,133.14031914253098,133.14031914253098
620.0,04772.280,05032.820,03263.690,9.14,0000,9.52,124114,317514.85,176300.0,0,163.712820929586,163.712820929586
377.0,03467.470,03400.620,0127.330,9.41,060.000,8.33,114114,317514.85,181000.0,0,406.3415275637425,406.3415275637425
881.0,04977.220,05964.780,03362.250,9.14,0000,0.00,114114,317514.85,190300.0,0,162.2003915556132,162.2003915556132
590.0,05199.360,05356.870,03319.140,9.14,0135.000,6.67,124114,317514.85,187300.0,0,420.89775270378954,420.89775270378954
556.0,07008.450,04828.760,03319.140,9.14,096.000,8.33,124114,317514.85,194400.0,0,153.4577200285322,153.4577200285322
268.0,02090.600,01956.300,0157.890,9.47,0552.000,8.33,124114,317514.85,192000.0,0,181.52048263204438,181.52048263204438
626.0,04797.820,05031.120,03149.950,9.34,0754.000,7.69,124114,317514.85,190200.0,0,167.6164579298241,167.6164579298241
610.0,05020.720,05201.050,03602.680,9.17,0819.000,7.69,124114,317514.85,199800.0,0,153.40057493215105,153.40057493215105
1027.0,06011.480,08476.800,03263.690,9.14,0492.000,8.33,114114,317514.85,172900.0,0,125.62773166893935,125.62773166893935
756.0,04664.760,04785.660,03362.250,9.14,0000,9.52,114114,317514.85,178000.0,0,184.3061941556029,184.3061941556029
503.0,05209.210,04854.310,03275.050,9.14,0996.000,8.33,124114,317514.85,195300.0,0,460.3621502244343,460.3621502244343
321.0,02258.010,02163.320,066.160,8.64,0552.000,8.33,124114,317514.85,185200.0,0,132.25757830242677,132.25757830242677
549.0,04732.920,04629.130,03319.140,9.14,0000,6.67,114114,317514.85,187200.0,0,441.4518783292966,441.4518783292966
537.0,05092.380,04950.480,03362.250,9.14,0336.000,8.33,124114,317514.85,192600.0,0,149.48096178251774,149.48096178251774
830.0,04200.810,06702.880,03275.050,9.14,0336.000,8.33,124114,317514.85,199000.0,0,395.54972006181305,395.54972006181305
839.0,05107.240,06885.320,03362.250,9.14,01056.000,8.33,114114,317514.85,185800.0,0,140.09864141119675,140.09864141119675
589.0,05371.980,05335.750,03451.950,9.16,0000,6.67,124114,317514.85,188200.0,0,172.2380619322074,172.2380619322074
559.0,05129.340,05053.490,03319.140,9.14,0135.000,6.67,114114,317514.85,174900.0,0,454.8272881280211,454.8272881280211
748.0,06254.290,05965.460,03411.750,9.15,01176.000,8.33,124114,317514.85,195000.0,0,160.7129620360574,160.7129620360574
727.0,05478.780,05732.920,03503.830,9.17,0456.000,8.33,124114,317514.85,196400.0,0,314.2594529474088,314.2594529474088
624.0,05210.830,05351.910,03372.120,9.14,0754.000,7.69,114114,317514.85,186200.0,0,330.53829557853277,330.53829557853277
612.0,06183.430,06508.970,03097.540,9.34,024.000,8.33,124114,317514.85,197600.0,0,148.0992758426607,148.0992758426607
390.0,03313.630,02978.760,0127.330,9.41,0552.000,8.33,124114,317514.85,189000.0,0,498.5798969535265,498.5798969535265
624.0,05934.760,05586.160,03275.050,9.14,01056.000,8.33,124114,317514.85,205700.0,0,439.9851894589361,439.9851894589361
624.0,04944.100,05776.620,03503.830,9.17,0456.000,8.33,114114,317514.85,191500.0,0,332.04920894674217,332.04920894674217
789.0,04689.960,02312.190,03275.050,9.14,0135.000,6.67,124114,317514.85,189700.0,0,468.05737640965526,468.05737640965526
529.0,04160.980,04321.290,03362.250,9.14,0336.000,8.33,124114,317514.85,186500.0,0,163.3163885859816,163.3163885859816
912.0,05898.910,04227.910,03411.750,9.15,0000,0.00,114114,317514.85,189200.0,0,307.76699761862585,307.76699761862585
573.0,04634.190,04674.430,03319.140,9.14,0000,9.52,124114,317514.85,192000.0,0,151.80358664946286,151.80358664946286
953.0,06297.650,05293.300,03562.640,9.16,0912.000,8.33,124114,317514.85,191400.0,0,508.3055484370273,508.3055484370273
721.0,05658.740,05697.540,03263.690,9.14,01056.000,8.33,124114,317514.85,191200.0,0,477.39778377581024,477.39778377581024
569.0,05040.880,05312.190,03319.140,9.14,0000,0.00,124114,317514.85,172000.0,0,271.0201557503195,271.0201557503195
566.0,05621.970,05640.890,03362.250,9.14,052.500,9.52,124114,317514.85,189700.0,0,419.7477434239695,419.7477434239695
667.0,05061.010,05216.680,03362.250,9.14,0000,0.00,114114,317514.85,186900.0,0,107.38815620463009,107.38815620463009
